"Geschäftspartne (Empfänger)";"Name (Empfänger)";"Straße und Hausnummer (Empfänger)";"PLZ (Empfänger)";"Stadt (Empfänger)";"Land (Empfänger)"
"Array Gienapp";"";"";"";"";"DE"
"Jakub Diarrhööö";"";"";"";"";"DE"
"Jakub Stříbrný";"";"";"";"";"DE"
"Jakub Stříbrný";"";"";"";"";"DE"
"Jakub Stříbrný";"";"";"";"";"DE"
"Jakub Stříbrný";"";"";"";"";"DE"
"Testen";"";"";"";"";"DE"
"Jakub Stříbrný";"";"";"";"";"DE"
"Jakub Stříbrný";"";"";"";"";"DE"
"TEst";"";"";"";"";"DE"
"Postyou Digital 7";"";"";"";"";"DE"
"Postyou Digital 4";"Horst Grobian";" Straß 1";"12345";"Hinterhausen";"DE"
