"Geschäftspartner (Empfänger)";"Name (Empfänger)";"PLZ (Empfänger)";"Stadt (Empfänger)";"Land (Empfänger)";"Straße (Empfänger)";"Hausnummer (Empfänger)";"Zusatz 1 (Empfänger)";"Zusatz 2 (Empfänger)"
"Verein robotix4me";"Christoph Adl";"";"";"AT";"";"";"";""
"Robo-Si";"Andrea Albertini";"";"";"CH";"";"";"";""
"HTL Bregenz - School of Engineering";"Kurt Albrecht";"";"";"AT";"";"";"";""
"Schulverbund Süßen";"Sabine Allmendinger";"";"";"DE";"";"";"";""
"Ostbayerische Technische Hochschule Regensburg";" asd";"";"";"DE";"";"";"";""
"asdasd";"asdads asdsd";"";"";"";"";"";"";""
"asdasd";"asdads asdsd";"";"";"";"";"";"";""
"asdasd";"asdads asdsd";"";"";"";"";"";"";""
"asdasd";"asdads asdsd";"";"";"";"";"";"";""
"Private Pädagogische Hochschule der Diözese Linz";"Michael Atzwanger";"";"";"DE";"";"";"";""
"International School of Geneva";"Daniel Auger";"";"";"CH";"";"";"";""
"Benzenschwiler Eltern Netzwerk (BEN)";"Sandra Bachmann";"";"";"CH";"";"";"";""
"Benzenschwiler Eltern Netzwerk (BEN)";"Patrick Bachmann";"";"";"CH";"";"";"";""
"Cluster Mechatronik & Automation Management gGmbH";"Heiko Bartschat";"86159";"Ausburg";"DE";"Am Technologiezentrum 5";"";"";""
"IGS Rockenhausen";"Heiko Baumann";"";"";"DE";"";"";"";""
"BFI Tirol BILDUNG. FREUDE INKLUSIVE.";"Andreas Bellony";"";"";"AT";"";"";"";""
"Robo-Si";"Marco Beltrametti";"";"";"CH";"";"";"";""
"Siemens Professional Education";"Christian Bentz";"";"";"DE";"";"";"";""
"Westsächsische Hochschule Zwickau";"Susan Bergelt";"";"";"DE";"";"";"";""
"Brandenburgische Technische Universität Cottbus–Senftenberg";"Thomas Berlin";"";"";"DE";"";"";"";""
"Brose Fahrzeugteile SE & Co. KG, Würzburg";"Sebastian Betz";"";"";"DE";"";"";"";""
"Ursulaschule Osnabrück";"Malte Blanke";"";"";"DE";"";"";"";""
"Hochschule Fulda";"Sandra Blum";"";"";"DE";"";"";"";""
"Technische Hochschule Brandenburg";"Ingo Boersch";"";"";"DE";"";"";"";""
"Kooperative Gesamtschule Leeste";"Henning Brandt";"32454";"Bremen";"DE";"Appartement 14, Veilchenstraße 25";"";"";""
"Bernard Overberg Schule";"Karina Breuckmann";"";"";"DE";"";"";"";""
"Kopernikus-Gymnasium Rheine";"Gert Broelemann";"";"";"DE";"";"";"";""
"Schönstätter Marienschule";"Sr. Christamaria Brück";"";"";"DE";"";"";"";""
"CPNV, Centre professionnel du Nord vaudois";"Sabrina Chapuis";"10369";"Berlin";"CH";"Storkower Str. 205a";"";"";""
"Zurich International School";"Clement Cheah";"";"";"CH";"";"";"";""
"ROSEN Technology and Research Center GmbH";"Jessica Cordes";"";"";"DE";"";"";"";""
"Bernard Overberg Schule";"Klaus Deipenwisch";"";"";"DE";"";"";"";""
"Jakub Stříbrný";"Jakub Diarrhöö";"";"";"";"";"";"";""
"Jakub Stříbrný";"Jakub Diarrhöö";"";"";"";"";"";"";""
"Hochschule Offenburg";"Nicole Diebold";"";"";"DE";"";"";"";""
"BFI Tirol BILDUNG. FREUDE INKLUSIVE.";"Anton Dippl";"";"";"AT";"";"";"";""
"Pädagogische Hochschule Wien";"Alina Dittl";"";"";"AT";"";"";"";""
"Pädagogische Hochschule Wien";"Birgit Döbrentey";"";"";"AT";"";"";"";""
"KMW Kinderförderung Spielerisches Aneignen von MINT-Wissen gemeinnützige GmbH";"Nina Dümig";"";"";"DE";"";"";"";""
"Ecole Polytechnique Federale de Lausanne";" E-Mail";"";"";"CH";"";"";"";""
"CPNV, Centre professionnel du Nord vaudois";" E-Mail";"";"";"CH";"";"";"";""
"Landesverband Sächsischer Jugendbildungswerke e.V.";" E-Mail";"";"";"DE";"";"";"";""
"Technische Universität Ilmenau";" E-Mail";"";"";"DE";"";"";"";""
"Zahlenland Prof. Preiß e.K.";" E-Mail";"";"";"DE";"";"";"";""
"BFI Tirol BILDUNG. FREUDE INKLUSIVE.";"Petra Eichler";"";"";"AT";"";"";"";""
"Siemens Professional Education";"Annalena Ernst";"";"";"DE";"";"";"";""
"Verein Freunde und Förderer des BSZ 7 Leipzig e.V.";"Gerlinde Feller";"";"";"DE";"";"";"";""
"Hochschule Fulda";"Carina Fleck";"";"";"DE";"";"";"";""
"Ostbayerische Technische Hochschule Regensburg";"Armin Gardeia";"";"";"DE";"";"";"";""
"experimenta gGmbH";"Volker Geis";"";"";"DE";"";"";"";""
"experimenta gGmbH";"Cathrin Geiss";"";"";"DE";"";"";"";""
"Postyou Digital 7";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 7";"Mario Gienapp";"";"";"";"";"";"";""
"Gienapp";"Mario Gienapp";"";"";"";"";"";"";""
"Gienapp";"Mario Gienapp";"";"";"";"";"";"";""
"Gienapp";"Mario Gienapp";"";"";"";"";"";"";""
"Gienapp";"Mario Gienapp";"";"";"";"";"";"";""
"Gienapp";"Mario Gienapp";"";"";"";"";"";"";""
"Gienapp";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 4";"Mario Gienapp";"";"";"";"";"";"";""
"asds";"Mario Gienapp";"";"";"";"";"";"";""
"asds";"Mario Gienapp";"";"";"";"";"";"";""
"asds";"Mario Gienapp";"";"";"";"";"";"";""
"asds";"Mario Gienapp";"";"";"";"";"";"";""
"asds";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 3";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 3";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 3";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 3";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 3";"Mario Gienapp";"";"";"";"";"";"";""
"Postyou Digital 3";"Mario Gienapp";"";"";"";"";"";"";""
